asof_time,event_time,event_status,event_importance,country,event_name,affected_symbol_count,affected_symbols,threshold_match,active_now,quiet_window_start,quiet_window_end,forecast,previous,actual,source
2026-03-28T17:33:54.161822+00:00,2026-03-29T23:50:00+00:00,watch,medium,japan,BoJ Summary of Opinions,6,"USD/JPY, EUR/JPY, GBP/JPY, AUD/JPY, CAD/JPY, CHF/JPY",True,False,2026-03-29T23:20:00+00:00,2026-03-30T00:20:00+00:00,,,,trading_economics
2026-03-28T17:33:54.161822+00:00,2026-03-30T05:00:00+00:00,watch,medium,japan,Housing Starts YoY,6,"USD/JPY, EUR/JPY, GBP/JPY, AUD/JPY, CAD/JPY, CHF/JPY",True,False,2026-03-30T04:30:00+00:00,2026-03-30T05:30:00+00:00,-4.7%,-0.4%,,trading_economics
2026-03-28T17:33:54.161822+00:00,2026-03-30T08:30:00+00:00,watch,medium,united kingdom,BoE Consumer Credit,4,"GBP/USD, EUR/GBP, GBP/JPY, GBP/CHF",True,False,2026-03-30T08:00:00+00:00,2026-03-30T09:00:00+00:00,£1.3B,£1.812B,,trading_economics
2026-03-28T17:33:54.161822+00:00,2026-03-30T08:30:00+00:00,watch,medium,united kingdom,Mortgage Approvals,4,"GBP/USD, EUR/GBP, GBP/JPY, GBP/CHF",True,False,2026-03-30T08:00:00+00:00,2026-03-30T09:00:00+00:00,61K,60K,,trading_economics
2026-03-28T17:33:54.161822+00:00,2026-03-30T08:30:00+00:00,watch,medium,united kingdom,Mortgage Lending,4,"GBP/USD, EUR/GBP, GBP/JPY, GBP/CHF",True,False,2026-03-30T08:00:00+00:00,2026-03-30T09:00:00+00:00,£4.4B,£4.08B,,trading_economics
2026-03-28T17:33:54.161822+00:00,2026-03-30T09:00:00+00:00,watch,medium,euro area,Economic Sentiment,4,"EUR/USD, EUR/GBP, EUR/JPY, EUR/CHF",True,False,2026-03-30T08:30:00+00:00,2026-03-30T09:30:00+00:00,96.5,98.3,,trading_economics
2026-03-28T17:33:54.161822+00:00,2026-03-30T14:30:00+00:00,watch,medium,united states,Dallas Fed Manufacturing Index,7,"EUR/USD, GBP/USD, USD/JPY, USD/CHF, AUD/USD, USD/CAD, NZD/USD",True,False,2026-03-30T14:00:00+00:00,2026-03-30T15:00:00+00:00,0.7,0.2,,trading_economics
2026-03-28T17:33:54.161822+00:00,2026-03-30T14:30:00+00:00,watch,medium,united states,Fed Chair Powell Speech,7,"EUR/USD, GBP/USD, USD/JPY, USD/CHF, AUD/USD, USD/CAD, NZD/USD",True,False,2026-03-30T14:00:00+00:00,2026-03-30T15:00:00+00:00,,,,trading_economics
2026-03-28T17:33:54.161822+00:00,2026-03-30T05:00:00+00:00,info,low,japan,Construction Orders YoY,6,"USD/JPY, EUR/JPY, GBP/JPY, AUD/JPY, CAD/JPY, CHF/JPY",False,False,2026-03-30T04:30:00+00:00,2026-03-30T05:30:00+00:00,3.0%,5.7%,,trading_economics
2026-03-28T17:33:54.161822+00:00,2026-03-30T08:30:00+00:00,info,low,united kingdom,M4 Money Supply MoM,4,"GBP/USD, EUR/GBP, GBP/JPY, GBP/CHF",False,False,2026-03-30T08:00:00+00:00,2026-03-30T09:00:00+00:00,0.1%,-0.1%,,trading_economics
2026-03-28T17:33:54.161822+00:00,2026-03-30T08:30:00+00:00,info,low,united kingdom,Net Lending to Individuals MoM,4,"GBP/USD, EUR/GBP, GBP/JPY, GBP/CHF",False,False,2026-03-30T08:00:00+00:00,2026-03-30T09:00:00+00:00,£5.6B,£5.9B,,trading_economics
2026-03-28T17:33:54.161822+00:00,2026-03-30T09:00:00+00:00,info,low,euro area,Consumer Confidence Final,4,"EUR/USD, EUR/GBP, EUR/JPY, EUR/CHF",False,False,2026-03-30T08:30:00+00:00,2026-03-30T09:30:00+00:00,-16.3,-12.2,,trading_economics
2026-03-28T17:33:54.161822+00:00,2026-03-30T09:00:00+00:00,info,low,euro area,Consumer Inflation Expectations,4,"EUR/USD, EUR/GBP, EUR/JPY, EUR/CHF",False,False,2026-03-30T08:30:00+00:00,2026-03-30T09:30:00+00:00,32,25.8,,trading_economics
2026-03-28T17:33:54.161822+00:00,2026-03-30T09:00:00+00:00,info,low,euro area,Industrial Sentiment,4,"EUR/USD, EUR/GBP, EUR/JPY, EUR/CHF",False,False,2026-03-30T08:30:00+00:00,2026-03-30T09:30:00+00:00,-9,-7.1,,trading_economics
2026-03-28T17:33:54.161822+00:00,2026-03-30T09:00:00+00:00,info,low,euro area,Selling Price Expectations,4,"EUR/USD, EUR/GBP, EUR/JPY, EUR/CHF",False,False,2026-03-30T08:30:00+00:00,2026-03-30T09:30:00+00:00,15,11.5,,trading_economics
2026-03-28T17:33:54.161822+00:00,2026-03-30T09:00:00+00:00,info,low,euro area,Services Sentiment,4,"EUR/USD, EUR/GBP, EUR/JPY, EUR/CHF",False,False,2026-03-30T08:30:00+00:00,2026-03-30T09:30:00+00:00,4,5.0,,trading_economics
2026-03-28T17:33:54.161822+00:00,2026-03-30T13:20:00+00:00,info,low,united states,NY Fed Bill Purchases 4 to 12 months,7,"EUR/USD, GBP/USD, USD/JPY, USD/CHF, AUD/USD, USD/CAD, NZD/USD",False,False,2026-03-30T12:50:00+00:00,2026-03-30T13:50:00+00:00,$6.726 billion,,,trading_economics
2026-03-28T17:33:54.161822+00:00,2026-03-30T15:30:00+00:00,info,low,united states,3-Month Bill Auction,7,"EUR/USD, GBP/USD, USD/JPY, USD/CHF, AUD/USD, USD/CAD, NZD/USD",False,False,2026-03-30T15:00:00+00:00,2026-03-30T16:00:00+00:00,,3.635%,,trading_economics
2026-03-28T17:33:54.161822+00:00,2026-03-30T15:30:00+00:00,info,low,united states,6-Month Bill Auction,7,"EUR/USD, GBP/USD, USD/JPY, USD/CHF, AUD/USD, USD/CAD, NZD/USD",False,False,2026-03-30T15:00:00+00:00,2026-03-30T16:00:00+00:00,,3.63%,,trading_economics
