asof_time,symbol,table_type,signal_side,level_tag,level_name,direction,status,level_price,zone_low,zone_high,last_price,distance_pips,distance_pips_abs,level_family,level_period,touch_count,first_touch_time,first_cross_time,build_timeframe,entry_timeframe,notes,rank,strength_score,fresh_score,family_score,period_score,distance_score,source_data
2026-03-28 17:28:26.432024+00:00,AUD/JPY,intraday,support,M_IB,M IB LOW,long,fresh,109.532,109.532,109.532,110.1885,-65.65,65.65,IB,M,0,,,M30,M1,Anchor 2026-03 | range 2.56200,11,48.15003750937735,3,2,2,0.015003750937734567,fxcm_m30/d1
2026-03-28 17:28:26.420399+00:00,AUD/JPY,intraday,support,M_POC,M_POC,long,fresh,109.2005,108.0675,110.1505,110.1885,-98.8,98.8,POC,M,0,,,M30,M1,Profile 2026-02 | close 111.07000,2,53.10020040080273,3,3,2,0.010020040080272756,fxcm_m30
2026-03-28 17:28:26.415417+00:00,AUD/JPY,intraday,resistance,W_POC,W_POC,short,fresh,112.2545,111.9075,113.0145,110.1885,206.6,206.6,POC,W,0,,,M30,M1,Profile 2026-W12 | close 111.56550,10,49.04816955683996,3,3,1,0.004816955683995633,fxcm_m30
2026-03-28 17:28:26.427521+00:00,AUD/JPY,intraday,resistance,M_IB,M IB HIGH,short,crossed,112.094,112.094,112.094,110.1885,190.55,190.55,IB,M,27,2026-03-10T09:30:00+00:00,2026-03-10T09:30:00+00:00,M30,M1,Anchor 2026-03 | range 2.56200,19,18.052205690420255,0,2,2,0.00522056904202561,fxcm_m30/d1
2026-03-28 17:28:12.619248+00:00,AUD/USD,intraday,resistance,M_IB,M IB LOW,short,crossed,0.69442,0.69442,0.69442,0.68736,70.5,70.5,IB,M,16,2026-03-23T09:30:00+00:00,2026-03-23T09:30:00+00:00,M30,M1,Anchor 2026-03 | range 0.01786,18,18.13986013986014,0,2,2,0.013986013986013986,fxcm_m30/d1
2026-03-28 17:28:28.275268+00:00,CAD/JPY,intraday,support,M_IB,M IB LOW,long,fresh,114.0345,114.0345,114.0345,115.39,-135.55,135.55,IB,M,0,,,M30,M1,Anchor 2026-03 | range 1.68500,9,48.07323324789454,3,2,2,0.007323324789454454,fxcm_m30/d1
2026-03-28 17:28:28.275268+00:00,CAD/JPY,intraday,resistance,M_IB,M IB 150,short,fresh,118.247,118.247,118.247,115.39,285.7,285.7,IB,M,0,,,M30,M1,Anchor 2026-03 | range 1.68500,10,48.034879665155216,3,2,2,0.003487966515521469,fxcm_m30/d1
2026-03-28 17:28:28.258620+00:00,CAD/JPY,intraday,resistance,W_POC,W_POC,short,tested,116.3435,115.8525,116.4925,115.39,95.35,95.35,POC,W,6,2026-03-23T01:00:00+00:00,,M30,M1,Profile 2026-W12 | close 116.09200,16,29.103788271924437,1,3,1,0.010378827192443759,fxcm_m30
2026-03-28 17:28:28.273907+00:00,CAD/JPY,intraday,resistance,M_IB,M IB HIGH,short,crossed,115.7195,115.7195,115.7195,115.39,32.95,32.95,IB,M,20,2026-03-06T15:00:00+00:00,2026-03-06T15:00:00+00:00,M30,M1,Anchor 2026-03 | range 1.68500,19,18.29455081001473,0,2,2,0.02945508100147311,fxcm_m30/d1
2026-03-28 17:28:28.266857+00:00,CAD/JPY,intraday,support,M_POC,M_POC,long,crossed,114.7625,112.9845,114.9685,115.39,-62.75,62.75,POC,M,6,2026-03-02T05:00:00+00:00,2026-03-02T05:00:00+00:00,M30,M1,Profile 2026-02 | close 114.39100,18,23.15686274510155,0,3,2,0.015686274510155047,fxcm_m30
2026-03-28 17:28:30.381464+00:00,CHF/JPY,intraday,support,M_IB,M IB LOW,long,crossed,200.4225,200.4225,200.4225,200.587,-16.45,16.45,IB,M,11,2026-03-19T09:30:00+00:00,2026-03-19T10:00:00+00:00,M30,M1,Anchor 2026-03 | range 3.59600,19,18.57306590257888,0,2,2,0.05730659025788772,fxcm_m30/d1
2026-03-28 17:28:30.375451+00:00,CHF/JPY,intraday,support,M_POC,M_POC,long,crossed,200.0075,198.3055,201.7355,200.587,-57.95,57.95,POC,M,11,2026-03-19T11:00:00+00:00,2026-03-19T11:00:00+00:00,M30,M1,Profile 2026-02 | close 202.84500,16,23.16963528414234,0,3,2,0.016963528414234087,fxcm_m30
2026-03-28 17:28:30.367407+00:00,CHF/JPY,intraday,resistance,W_POC,W_POC,short,crossed,202.0625,201.3225,202.5695,200.587,147.55,147.55,POC,W,7,2026-03-23T00:00:00+00:00,2026-03-23T03:30:00+00:00,M30,M1,Profile 2026-W12 | close 202.02900,18,19.067317401547744,0,3,1,0.006731740154774334,fxcm_m30
2026-03-28 17:28:22.932786+00:00,EUR/CHF,intraday,resistance,M_IB,M IB 150,short,fresh,0.93002,0.93002,0.93002,0.91968,103.5,103.5,IB,M,0,,,M30,M1,Anchor 2026-03 | range 0.01129,8,48.09569377990431,3,2,2,0.00956937799043065,fxcm_m30/d1
2026-03-28 17:28:22.918292+00:00,EUR/CHF,intraday,support,M_POC,M_POC,long,crossed,0.91315,0.91075,0.91635,0.91968,-65.25,65.25,POC,M,47,2026-03-19T16:00:00+00:00,2026-03-19T16:30:00+00:00,M30,M1,Profile 2026-02 | close 0.90884,15,23.1509433962264,0,3,2,0.015094339622639731,fxcm_m30
