asof_time,table_type,symbol,current_price,nearest_ib,nearest_ib_price,nearest_ib_pips,nearest_ib_status,nearest_poc,nearest_poc_price,nearest_poc_pips,nearest_poc_status,nearest_support,nearest_support_price,nearest_support_pips,nearest_support_status,nearest_resistance,nearest_resistance_price,nearest_resistance_pips,nearest_resistance_status,signal_summary,last_price,nearest_fresh_support,nearest_fresh_support_price,nearest_fresh_support_pips,nearest_fresh_resistance,nearest_fresh_resistance_price,nearest_fresh_resistance_pips,fresh_levels,tested_levels,crossed_levels,total_levels,trade_status,block_reason,next_threshold_event_time,next_threshold_event_importance,next_threshold_event_name,next_event_time,next_event_importance,next_event_name,upcoming_threshold_event_count_48h
2026-03-28 17:28:26.420399+00:00,intraday,AUD/JPY,110.1885,M IB LOW,109.53200000000001,-65.65,fresh,M_POC,109.2005000000112,-98.8,fresh,M IB LOW,109.53200000000001,-65.65,fresh,W_POC,112.25450000000521,206.6,fresh,Support M IB LOW (fresh) @ 109.53200000000001 [-65.65 pips] | Resistance W_POC (fresh) @ 112.25450000000521 [206.60 pips] | POC M_POC (fresh) @ 109.2005000000112 [-98.80 pips] | IB M IB LOW (fresh) @ 109.53200000000001 [-65.65 pips],110.1885,M IB LOW,109.53200000000001,-65.65,W_POC,112.25450000000521,206.6,3,0,1,4,open,,2026-03-29T23:50:00+00:00,medium,BoJ Summary of Opinions,2026-03-29T23:50:00+00:00,medium,BoJ Summary of Opinions,2
2026-03-28 17:28:12.619248+00:00,intraday,AUD/USD,0.687365,M IB LOW,0.694415,70.5,crossed,,,,,,,,,M IB LOW,0.694415,70.5,crossed,Support - | Resistance M IB LOW (crossed) @ 0.694415 [70.50 pips] | POC - | IB M IB LOW (crossed) @ 0.694415 [70.50 pips],0.687365,,,,,,,0,0,1,1,open,,2026-03-30T14:30:00+00:00,medium,Dallas Fed Manufacturing Index,2026-03-30T13:20:00+00:00,low,NY Fed Bill Purchases 4 to 12 months,2
2026-03-28 17:28:28.275268+00:00,intraday,CAD/JPY,115.39,M IB LOW,114.03450000000001,-135.55,fresh,W_POC,116.34350000000775,95.35,tested,M IB LOW,114.03450000000001,-135.55,fresh,M IB 150,118.24699999999999,285.7,fresh,Support M IB LOW (fresh) @ 114.03450000000001 [-135.55 pips] | Resistance M IB 150 (fresh) @ 118.24699999999999 [285.70 pips] | POC W_POC (tested) @ 116.34350000000775 [95.35 pips] | IB M IB LOW (fresh) @ 114.03450000000001 [-135.55 pips],115.39,M IB LOW,114.03450000000001,-135.55,M IB 150,118.24699999999999,285.7,2,1,2,5,open,,2026-03-29T23:50:00+00:00,medium,BoJ Summary of Opinions,2026-03-29T23:50:00+00:00,medium,BoJ Summary of Opinions,2
2026-03-28 17:28:30.375451+00:00,intraday,CHF/JPY,200.587,M IB LOW,200.4225,-16.45,crossed,M_POC,200.00750000001125,-57.95,crossed,M IB LOW,200.4225,-16.45,crossed,W_POC,202.06250000001228,147.55,crossed,Support M IB LOW (crossed) @ 200.4225 [-16.45 pips] | Resistance W_POC (crossed) @ 202.06250000001228 [147.55 pips] | POC M_POC (crossed) @ 200.00750000001125 [-57.95 pips] | IB M IB LOW (crossed) @ 200.4225 [-16.45 pips],200.587,,,,,,,0,0,3,3,open,,2026-03-29T23:50:00+00:00,medium,BoJ Summary of Opinions,2026-03-29T23:50:00+00:00,medium,BoJ Summary of Opinions,2
2026-03-28 17:28:22.932786+00:00,intraday,EUR/CHF,0.919675,M IB 150,0.930025,103.5,fresh,M_POC,0.9131499999999992,-65.25,crossed,M_POC,0.9131499999999992,-65.25,crossed,M IB 150,0.930025,103.5,fresh,Support M_POC (crossed) @ 0.9131499999999992 [-65.25 pips] | Resistance M IB 150 (fresh) @ 0.930025 [103.50 pips] | POC M_POC (crossed) @ 0.9131499999999992 [-65.25 pips] | IB M IB 150 (fresh) @ 0.930025 [103.50 pips],0.919675,,,,M IB 150,0.930025,103.5,1,0,3,4,open,,2026-03-30T09:00:00+00:00,medium,Economic Sentiment,2026-03-30T09:00:00+00:00,medium,Economic Sentiment,1
2026-03-28 17:28:17.062019+00:00,intraday,EUR/GBP,0.8679,M IB HIGH,0.878755,108.55,fresh,M_POC,0.8715499999999989,36.5,crossed,M IB -150,0.8529550000000002,-149.45,fresh,M IB HIGH,0.878755,108.55,fresh,Support M IB -150 (fresh) @ 0.8529550000000002 [-149.45 pips] | Resistance M IB HIGH (fresh) @ 0.878755 [108.55 pips] | POC M_POC (crossed) @ 0.8715499999999989 [36.50 pips] | IB M IB HIGH (fresh) @ 0.878755 [108.55 pips],0.8679,M IB -150,0.8529550000000002,-149.45,M IB HIGH,0.878755,108.55,2,0,3,5,open,,2026-03-30T08:30:00+00:00,medium,BoE Consumer Credit,2026-03-30T08:30:00+00:00,medium,BoE Consumer Credit,4
2026-03-28 17:28:18.956599+00:00,intraday,EUR/JPY,184.49,M IB HIGH,184.69400000000002,20.4,fresh,M_POC,183.60950000001338,-88.05,crossed,M_POC,183.60950000001338,-88.05,crossed,M IB HIGH,184.69400000000002,20.4,fresh,Support M_POC (crossed) @ 183.60950000001338 [-88.05 pips] | Resistance M IB HIGH (fresh) @ 184.69400000000002 [20.40 pips] | POC M_POC (crossed) @ 183.60950000001338 [-88.05 pips] | IB M IB HIGH (fresh) @ 184.69400000000002 [20.40 pips],184.49,,,,M IB HIGH,184.69400000000002,20.4,1,0,3,4,open,,2026-03-29T23:50:00+00:00,medium,BoJ Summary of Opinions,2026-03-29T23:50:00+00:00,medium,BoJ Summary of Opinions,3
2026-03-28 17:28:05.181971+00:00,intraday,EUR/USD,1.15113,M IB LOW,1.15303,19.0,crossed,W_POC,1.1538499999999985,27.2,crossed,,,,,M IB LOW,1.15303,19.0,crossed,Support - | Resistance M IB LOW (crossed) @ 1.15303 [19.00 pips] | POC W_POC (crossed) @ 1.1538499999999985 [27.20 pips] | IB M IB LOW (crossed) @ 1.15303 [19.00 pips],1.15113,,,,,,,0,0,2,2,open,,2026-03-30T09:00:00+00:00,medium,Economic Sentiment,2026-03-30T09:00:00+00:00,medium,Economic Sentiment,3
2026-03-28 17:28:24.535087+00:00,intraday,GBP/CHF,1.060175,M IB HIGH,1.04725,-129.25,crossed,W_POC,1.0486499999999999,-115.25,fresh,W_POC,1.0486499999999999,-115.25,fresh,,,,,Support W_POC (fresh) @ 1.0486499999999999 [-115.25 pips] | Resistance - | POC W_POC (fresh) @ 1.0486499999999999 [-115.25 pips] | IB M IB HIGH (crossed) @ 1.04725 [-129.25 pips],1.060175,W_POC,1.0486499999999999,-115.25,,,,1,0,2,3,open,,2026-03-30T08:30:00+00:00,medium,BoE Consumer Credit,2026-03-30T08:30:00+00:00,medium,BoE Consumer Credit,3
2026-03-28 17:28:21.249817+00:00,intraday,GBP/JPY,212.642,M IB 150,214.69675,205.48,fresh,W_POC,212.28250000000708,-35.95,crossed,W_POC,212.28250000000708,-35.95,crossed,M IB 150,214.69675,205.48,fresh,Support W_POC (crossed) @ 212.28250000000708 [-35.95 pips] | Resistance M IB 150 (fresh) @ 214.69675 [205.48 pips] | POC W_POC (crossed) @ 212.28250000000708 [-35.95 pips] | IB M IB 150 (fresh) @ 214.69675 [205.48 pips],212.642,,,,M IB 150,214.69675,205.48,1,0,2,3,open,,2026-03-29T23:50:00+00:00,medium,BoJ Summary of Opinions,2026-03-29T23:50:00+00:00,medium,BoJ Summary of Opinions,5
