asof_time,table_type,source_table_type,instrument,current_price,last_price,res1_name,res1_price,res1_pips,res1_family,res1_period,res1_status,res1_conf,res1_conf_name,res1_conf_pips,res2_name,res2_price,res2_pips,res2_family,res2_period,res2_status,res2_conf,res2_conf_name,res2_conf_pips,sup1_name,sup1_price,sup1_pips,sup1_family,sup1_period,sup1_status,sup1_conf,sup1_conf_name,sup1_conf_pips,sup2_name,sup2_price,sup2_pips,sup2_family,sup2_period,sup2_status,sup2_conf,sup2_conf_name,sup2_conf_pips,source_levels,source_resistances,source_supports,selected_resistances,selected_supports,selected_levels,confluence_candidates,confluence_hits,signal_summary
2026-03-28 17:30:57.195663+00:00,invest_ib_matrix,invest,AUD/JPY,110.189,110.189,Y IB 150,121.847,1165.87,IB,Y,fresh,,,,Y IB 200,125.303,1511.5,IB,Y,fresh,,,,Y IB LOW,104.566,-562.25,IB,Y,fresh,,,,Y IB -150,94.197,-1599.12,IB,Y,fresh,,,,5,2,3,2,2,4,3,0,Res1 Y IB 150 (fresh) @ 121.847 [1165.87 pips] | Res2 Y IB 200 (fresh) @ 125.303 [1511.50 pips] | Sup1 Y IB LOW (fresh) @ 104.566 [-562.25 pips] | Sup2 Y IB -150 (fresh) @ 94.197 [-1599.12 pips]
2026-03-28 17:30:42.568124+00:00,invest_ib_matrix,invest,AUD/USD,0.68737,0.68737,Y IB 150,0.78735,999.87,IB,Y,fresh,,,,,,,,,,,,,Y IB LOW,0.66629,-210.75,IB,Y,fresh,,,,Y IB -150,0.59365,-937.12,IB,Y,fresh,,,,3,1,2,1,2,3,3,0,Res1 Y IB 150 (fresh) @ 0.78735 [999.87 pips] | Sup1 Y IB LOW (fresh) @ 0.66629 [-210.75 pips] | Sup2 Y IB -150 (fresh) @ 0.59365 [-937.12 pips]
2026-03-28 17:31:00.357312+00:00,invest_ib_matrix,invest,CAD/JPY,115.39,115.39,Y IB 150,120.992,560.17,IB,Y,fresh,,,,Y IB 200,122.844,745.4,IB,Y,fresh,,,,Y IB LOW,111.731,-365.95,IB,Y,fresh,,,,Y IB -150,106.174,-921.62,IB,Y,fresh,,,,7,3,4,2,2,4,3,0,Res1 Y IB 150 (fresh) @ 120.992 [560.17 pips] | Res2 Y IB 200 (fresh) @ 122.844 [745.40 pips] | Sup1 Y IB LOW (fresh) @ 111.731 [-365.95 pips] | Sup2 Y IB -150 (fresh) @ 106.174 [-921.62 pips]
2026-03-28 17:31:02.755268+00:00,invest_ib_matrix,invest,CHF/JPY,200.587,200.587,Y IB 150,215.039,1445.2,IB,Y,fresh,,,,Y IB 200,218.829,1824.2,IB,Y,fresh,,,,Y IB LOW,196.089,-449.8,IB,Y,fresh,,,,Y IB -150,184.719,-1586.8,IB,Y,fresh,,,,5,2,3,2,2,4,3,0,Res1 Y IB 150 (fresh) @ 215.039 [1445.20 pips] | Res2 Y IB 200 (fresh) @ 218.829 [1824.20 pips] | Sup1 Y IB LOW (fresh) @ 196.089 [-449.80 pips] | Sup2 Y IB -150 (fresh) @ 184.719 [-1586.80 pips]
2026-03-28 17:30:53.008933+00:00,invest_ib_matrix,invest,EUR/CHF,0.91968,0.91968,Y IB HIGH,0.935,153.2,IB,Y,fresh,,,,Y IB 150,0.9848,651.27,IB,Y,fresh,,,,Y IB -150,0.85198,-676.93,IB,Y,fresh,,,,Y IB -200,0.83538,-842.95,IB,Y,fresh,,,,5,3,2,2,2,4,1,0,Res1 Y IB HIGH (fresh) @ 0.935 [153.20 pips] | Res2 Y IB 150 (fresh) @ 0.9848 [651.27 pips] | Sup1 Y IB -150 (fresh) @ 0.85198 [-676.93 pips] | Sup2 Y IB -200 (fresh) @ 0.83538 [-842.95 pips]
2026-03-28 17:30:47.261305+00:00,invest_ib_matrix,invest,EUR/GBP,0.8679,0.8679,Y IB HIGH,0.87893,110.3,IB,Y,fresh,,,,Y IB 150,0.90549,375.95,IB,Y,fresh,,,,Y IB -150,0.83465,-332.45,IB,Y,fresh,,,,Y IB -200,0.8258,-421.0,IB,Y,fresh,,,,7,4,3,2,2,4,0,0,Res1 Y IB HIGH (fresh) @ 0.87893 [110.30 pips] | Res2 Y IB 150 (fresh) @ 0.90549 [375.95 pips] | Sup1 Y IB -150 (fresh) @ 0.83465 [-332.45 pips] | Sup2 Y IB -200 (fresh) @ 0.8258 [-421.00 pips]
2026-03-28 17:30:49.347245+00:00,invest_ib_matrix,invest,EUR/JPY,184.49,184.49,Y IB HIGH,186.875,238.5,IB,Y,fresh,,,,Y IB 150,195.979,1148.92,IB,Y,fresh,,,,Y IB LOW,180.805,-368.45,IB,Y,fresh,,,,Y IB -150,171.701,-1278.88,IB,Y,fresh,,,,6,3,3,2,2,4,3,0,Res1 Y IB HIGH (fresh) @ 186.875 [238.50 pips] | Res2 Y IB 150 (fresh) @ 195.979 [1148.92 pips] | Sup1 Y IB LOW (fresh) @ 180.805 [-368.45 pips] | Sup2 Y IB -150 (fresh) @ 171.701 [-1278.88 pips]
2026-03-28 17:30:35.747782+00:00,invest_ib_matrix,invest,EUR/USD,1.15113,1.15113,Y IB HIGH,1.20832,571.9,IB,Y,fresh,,,,,,,,,,,,,Y IB -150,1.08023,-708.98,IB,Y,fresh,,,,Y IB -200,1.05461,-965.15,IB,Y,fresh,,,,3,1,2,1,2,3,0,0,Res1 Y IB HIGH (fresh) @ 1.20832 [571.90 pips] | Sup1 Y IB -150 (fresh) @ 1.08023 [-708.98 pips] | Sup2 Y IB -200 (fresh) @ 1.05461 [-965.15 pips]
2026-03-28 17:30:54.567716+00:00,invest_ib_matrix,invest,GBP/CHF,1.06018,1.06018,Y IB HIGH,1.07984,196.7,IB,Y,fresh,,,,Y IB 150,1.15592,957.42,IB,Y,fresh,,,,,,,,,,,,,,,,,,,,,,2,2,0,2,0,2,1,0,Res1 Y IB HIGH (fresh) @ 1.07984 [196.70 pips] | Res2 Y IB 150 (fresh) @ 1.15592 [957.42 pips]
2026-03-28 17:30:51.366508+00:00,invest_ib_matrix,invest,GBP/JPY,212.642,212.642,Y IB HIGH,215.014,237.15,IB,Y,fresh,,,,Y IB 150,226.684,1404.23,IB,Y,fresh,,,,Y IB LOW,207.233,-540.9,IB,Y,fresh,,,,Y IB -150,195.562,-1707.98,IB,Y,fresh,,,,5,3,2,2,2,4,3,0,Res1 Y IB HIGH (fresh) @ 215.014 [237.15 pips] | Res2 Y IB 150 (fresh) @ 226.684 [1404.23 pips] | Sup1 Y IB LOW (fresh) @ 207.233 [-540.90 pips] | Sup2 Y IB -150 (fresh) @ 195.562 [-1707.98 pips]
