asof_time,table_type,instrument,current_price,above_levels,below_levels,selected_levels,confluence_hits
2026-03-28 17:30:57.195663+00:00,invest_ib_matrix,AUD/JPY,110.189,"Y IB 150 @ 121.847
Y IB 200 @ 125.303","Y IB LOW @ 104.566
Y IB -150 @ 94.197",4,0
2026-03-28 17:30:42.568124+00:00,invest_ib_matrix,AUD/USD,0.68737,Y IB 150 @ 0.78735,"Y IB LOW @ 0.66629
Y IB -150 @ 0.59365",3,0
2026-03-28 17:31:00.357312+00:00,invest_ib_matrix,CAD/JPY,115.39,"Y IB 150 @ 120.992
Y IB 200 @ 122.844","Y IB LOW @ 111.731
Y IB -150 @ 106.174",4,0
2026-03-28 17:31:02.755268+00:00,invest_ib_matrix,CHF/JPY,200.587,"Y IB 150 @ 215.039
Y IB 200 @ 218.829","Y IB LOW @ 196.089
Y IB -150 @ 184.719",4,0
2026-03-28 17:30:53.008933+00:00,invest_ib_matrix,EUR/CHF,0.91968,"Y IB HIGH @ 0.935
Y IB 150 @ 0.9848","Y IB -150 @ 0.85198
Y IB -200 @ 0.83538",4,0
2026-03-28 17:30:47.261305+00:00,invest_ib_matrix,EUR/GBP,0.8679,"Y IB HIGH @ 0.87893
Y IB 150 @ 0.90549","Y IB -150 @ 0.83465
Y IB -200 @ 0.8258",4,0
2026-03-28 17:30:49.347245+00:00,invest_ib_matrix,EUR/JPY,184.49,"Y IB HIGH @ 186.875
Y IB 150 @ 195.979","Y IB LOW @ 180.805
Y IB -150 @ 171.701",4,0
2026-03-28 17:30:35.747782+00:00,invest_ib_matrix,EUR/USD,1.15113,Y IB HIGH @ 1.20832,"Y IB -150 @ 1.08023
Y IB -200 @ 1.05461",3,0
2026-03-28 17:30:54.567716+00:00,invest_ib_matrix,GBP/CHF,1.06018,"Y IB HIGH @ 1.07984
Y IB 150 @ 1.15592",,2,0
2026-03-28 17:30:51.366508+00:00,invest_ib_matrix,GBP/JPY,212.642,"Y IB HIGH @ 215.014
Y IB 150 @ 226.684","Y IB LOW @ 207.233
Y IB -150 @ 195.562",4,0
2026-03-28 17:30:37.283825+00:00,invest_ib_matrix,GBP/USD,1.32608,Y IB HIGH @ 1.38695,Y IB -150 @ 1.25119,2,0
2026-03-28 17:30:45.696828+00:00,invest_ib_matrix,NZD/USD,0.57442,"Y IB HIGH @ 0.60927
Y IB 150 @ 0.6665","Y IB LOW @ 0.57112
Y IB -150 @ 0.51388",4,0
2026-03-28 17:30:44.214766+00:00,invest_ib_matrix,USD/CAD,1.38936,"Y IB HIGH @ 1.39288
Y IB 150 @ 1.45994",Y IB LOW @ 1.34817,3,0
2026-03-28 17:30:40.803273+00:00,invest_ib_matrix,USD/CHF,0.79892,"Y IB HIGH @ 0.80417
Y IB 150 @ 0.86985",Y IB LOW @ 0.76039,3,0
2026-03-28 17:30:39.234420+00:00,invest_ib_matrix,USD/JPY,160.293,"Y IB 150 @ 170.497
Y IB 200 @ 174.178","Y IB LOW @ 152.094
Y IB -150 @ 141.053",4,0
