asof_time,symbol,table_type,current_price,last_price,nearest_ib_level_name,nearest_ib_level_price,nearest_ib_distance_pips,nearest_ib_status,nearest_poc_level_name,nearest_poc_level_price,nearest_poc_distance_pips,nearest_poc_status,nearest_long_level_name,nearest_long_level_price,nearest_long_distance_pips,nearest_long_status,nearest_short_level_name,nearest_short_level_price,nearest_short_distance_pips,nearest_short_status,nearest_fresh_long_level_name,nearest_fresh_long_level_price,nearest_fresh_long_distance_pips,nearest_fresh_short_level_name,nearest_fresh_short_level_price,nearest_fresh_short_distance_pips,fresh_levels,tested_levels,crossed_levels,total_levels,signal_summary
2026-03-28 15:35:16.534655+00:00,AUD/JPY,invest,110.189,110.189,M_IB_MID,110.813,62.45,crossed,M_POC,109.201,-98.8,fresh,M_IB_LOW,109.532,-65.65,fresh,M_IB_MID,110.813,62.45,crossed,M_IB_LOW,109.532,-65.65,M_IB_1_UP,114.656,446.75,21,0,3,24,Support M_IB_LOW (fresh) @ 109.532 [-65.65 pips] | Resistance M_IB_MID (crossed) @ 110.813 [62.45 pips] | POC M_POC (fresh) @ 109.201 [-98.80 pips] | IB M_IB_MID (crossed) @ 110.813 [62.45 pips]
2026-03-28 15:35:06.755133+00:00,AUD/USD,invest,0.68737,0.68737,Y_IB_MID,0.6905,31.38,crossed,M_POC,0.70735,199.85,crossed,M_IB_1_DOWN,0.67656,-108.1,fresh,Y_IB_MID,0.6905,31.38,crossed,M_IB_1_DOWN,0.67656,-108.1,M_IB_1_UP,0.73013,427.7,18,0,6,24,Support M_IB_1_DOWN (fresh) @ 0.67656 [-108.10 pips] | Resistance Y_IB_MID (crossed) @ 0.6905 [31.38 pips] | POC M_POC (crossed) @ 0.70735 [199.85 pips] | IB Y_IB_MID (crossed) @ 0.6905 [31.38 pips]
2026-03-28 15:35:17.834021+00:00,CAD/JPY,invest,115.39,115.39,Y_IB_HIGH,115.435,4.5,crossed,M_POC,114.763,-62.75,crossed,M_IB_MID,114.877,-51.3,crossed,Y_IB_HIGH,115.435,4.5,crossed,M_IB_LOW,114.035,-135.55,M_IB_1_UP,117.404,201.45,20,0,4,24,Support M_IB_MID (crossed) @ 114.877 [-51.30 pips] | Resistance Y_IB_HIGH (crossed) @ 115.435 [4.50 pips] | POC M_POC (crossed) @ 114.763 [-62.75 pips] | IB Y_IB_HIGH (crossed) @ 115.435 [4.50 pips]
2026-03-28 15:35:19.215513+00:00,CHF/JPY,invest,200.587,200.587,M_IB_LOW,200.423,-16.45,crossed,M_POC,200.008,-57.95,crossed,M_IB_LOW,200.423,-16.45,crossed,M_IB_MID,202.221,163.35,crossed,M_IB_1_DOWN,196.827,-376.05,M_IB_1_UP,207.615,702.75,18,1,5,24,Support M_IB_LOW (crossed) @ 200.423 [-16.45 pips] | Resistance M_IB_MID (crossed) @ 202.221 [163.35 pips] | POC M_POC (crossed) @ 200.008 [-57.95 pips] | IB M_IB_LOW (crossed) @ 200.423 [-16.45 pips]
2026-03-28 15:35:14.095269+00:00,EUR/CHF,invest,0.91968,0.91968,Y_IB_MID,0.91839,-12.83,crossed,M_POC,0.91315,-65.25,crossed,Y_IB_MID,0.91839,-12.83,crossed,M_IB_1_UP,0.92438,47.05,fresh,M_IB_1_DOWN,0.89051,-291.65,M_IB_1_UP,0.92438,47.05,17,0,7,24,Support Y_IB_MID (crossed) @ 0.91839 [-12.83 pips] | Resistance M_IB_1_UP (fresh) @ 0.92438 [47.05 pips] | POC M_POC (crossed) @ 0.91315 [-65.25 pips] | IB Y_IB_MID (crossed) @ 0.91839 [-12.83 pips]
2026-03-28 15:35:10.097791+00:00,EUR/GBP,invest,0.8679,0.8679,M_IB_LOW,0.86844,5.35,crossed,M_POC,0.87155,36.5,crossed,Y_IB_LOW,0.86122,-66.8,tested,M_IB_LOW,0.86844,5.35,crossed,M_IB_1_DOWN,0.85812,-97.85,M_IB_MID,0.8736,56.95,19,1,4,24,Support Y_IB_LOW (tested) @ 0.86122 [-66.80 pips] | Resistance M_IB_LOW (crossed) @ 0.86844 [5.35 pips] | POC M_POC (crossed) @ 0.87155 [36.50 pips] | IB M_IB_LOW (crossed) @ 0.86844 [5.35 pips]
2026-03-28 15:35:11.481776+00:00,EUR/JPY,invest,184.49,184.49,M_IB_HIGH,184.694,20.4,fresh,M_POC,183.61,-88.05,crossed,Y_IB_MID,183.84,-64.98,crossed,M_IB_HIGH,184.694,20.4,fresh,Y_IB_LOW,180.805,-368.45,M_IB_HIGH,184.694,20.4,20,0,4,24,Support Y_IB_MID (crossed) @ 183.84 [-64.98 pips] | Resistance M_IB_HIGH (fresh) @ 184.694 [20.40 pips] | POC M_POC (crossed) @ 183.61 [-88.05 pips] | IB M_IB_HIGH (fresh) @ 184.694 [20.40 pips]
2026-03-28 15:35:01.993433+00:00,EUR/USD,invest,1.15113,1.15113,M_IB_LOW,1.15303,19.0,crossed,Y_POC,1.16565,145.2,crossed,M_IB_1_DOWN,1.12423,-269.0,fresh,M_IB_LOW,1.15303,19.0,crossed,M_IB_1_DOWN,1.12423,-269.0,M_IB_MID,1.16743,163.0,20,1,3,24,Support M_IB_1_DOWN (fresh) @ 1.12423 [-269.00 pips] | Resistance M_IB_LOW (crossed) @ 1.15303 [19.00 pips] | POC Y_POC (crossed) @ 1.16565 [145.20 pips] | IB M_IB_LOW (crossed) @ 1.15303 [19.00 pips]
2026-03-28 15:35:15.209383+00:00,GBP/CHF,invest,1.06018,1.06018,Y_IB_MID,1.05449,-56.88,crossed,Y_POC,1.07195,117.75,crossed,Y_IB_MID,1.05449,-56.88,crossed,M_IB_1_UP,1.0659,57.25,fresh,M_IB_LOW,1.0286,-315.75,M_IB_1_UP,1.0659,57.25,18,2,4,24,Support Y_IB_MID (crossed) @ 1.05449 [-56.88 pips] | Resistance M_IB_1_UP (fresh) @ 1.0659 [57.25 pips] | POC Y_POC (crossed) @ 1.07195 [117.75 pips] | IB Y_IB_MID (crossed) @ 1.05449 [-56.88 pips]
2026-03-28 15:35:12.955179+00:00,GBP/JPY,invest,212.642,212.642,M_IB_1_UP,213.594,95.2,fresh,M_POC,208.635,-400.75,fresh,M_IB_HIGH,211.388,-125.35,crossed,M_IB_1_UP,213.594,95.2,fresh,M_IB_LOW,209.183,-345.9,M_IB_1_UP,213.594,95.2,21,1,2,24,Support M_IB_HIGH (crossed) @ 211.388 [-125.35 pips] | Resistance M_IB_1_UP (fresh) @ 213.594 [95.20 pips] | POC M_POC (fresh) @ 208.635 [-400.75 pips] | IB M_IB_1_UP (fresh) @ 213.594 [95.20 pips]
