asof_time,table_type,symbol,current_price,nearest_ib,nearest_ib_price,nearest_ib_pips,nearest_ib_status,nearest_poc,nearest_poc_price,nearest_poc_pips,nearest_poc_status,nearest_support,nearest_support_price,nearest_support_pips,nearest_support_status,nearest_resistance,nearest_resistance_price,nearest_resistance_pips,nearest_resistance_status,signal_summary,last_price,nearest_fresh_support,nearest_fresh_support_price,nearest_fresh_support_pips,nearest_fresh_resistance,nearest_fresh_resistance_price,nearest_fresh_resistance_pips,fresh_levels,tested_levels,crossed_levels,total_levels,trade_status,block_reason,next_threshold_event_time,next_threshold_event_importance,next_threshold_event_name,next_event_time,next_event_importance,next_event_name,upcoming_threshold_event_count_48h
2026-03-28 15:35:16.560481+00:00,invest,AUD/JPY,110.1885,M_IB_LOW,109.53200000000001,-65.65,fresh,M_POC,109.2005000000112,-98.8,fresh,M_IB_LOW,109.53200000000001,-65.65,fresh,M_IB_1_UP,114.65599999999998,446.75,fresh,Support M_IB_LOW (fresh) @ 109.53200000000001 [-65.65 pips] | Resistance M_IB_1_UP (fresh) @ 114.65599999999998 [446.75 pips] | POC M_POC (fresh) @ 109.2005000000112 [-98.80 pips] | IB M_IB_LOW (fresh) @ 109.53200000000001 [-65.65 pips],110.1885,M_IB_LOW,109.53200000000001,-65.65,M_IB_1_UP,114.65599999999998,446.75,21,0,3,24,open,,2026-03-29T23:50:00+00:00,medium,BoJ Summary of Opinions,2026-03-29T23:50:00+00:00,medium,BoJ Summary of Opinions,2
2026-03-28 15:35:06.749516+00:00,invest,AUD/USD,0.687365,M_IB_1_DOWN,0.676555,-108.1,fresh,Y_POC,0.6523499999999989,-350.15,fresh,M_IB_1_DOWN,0.676555,-108.1,fresh,M_IB_1_UP,0.730135,427.7,fresh,Support M_IB_1_DOWN (fresh) @ 0.676555 [-108.10 pips] | Resistance M_IB_1_UP (fresh) @ 0.730135 [427.70 pips] | POC Y_POC (fresh) @ 0.6523499999999989 [-350.15 pips] | IB M_IB_1_DOWN (fresh) @ 0.676555 [-108.10 pips],0.687365,M_IB_1_DOWN,0.676555,-108.1,M_IB_1_UP,0.730135,427.7,18,0,6,24,open,,2026-03-30T14:30:00+00:00,medium,Dallas Fed Manufacturing Index,2026-03-30T13:20:00+00:00,low,NY Fed Bill Purchases 4 to 12 months,2
2026-03-28 15:35:17.830747+00:00,invest,CAD/JPY,115.39,M_IB_LOW,114.03450000000001,-135.55,fresh,Y_POC,106.86950000000799,-852.05,fresh,M_IB_LOW,114.03450000000001,-135.55,fresh,M_IB_1_UP,117.40449999999998,201.45,fresh,Support M_IB_LOW (fresh) @ 114.03450000000001 [-135.55 pips] | Resistance M_IB_1_UP (fresh) @ 117.40449999999998 [201.45 pips] | POC Y_POC (fresh) @ 106.86950000000799 [-852.05 pips] | IB M_IB_LOW (fresh) @ 114.03450000000001 [-135.55 pips],115.39,M_IB_LOW,114.03450000000001,-135.55,M_IB_1_UP,117.40449999999998,201.45,20,0,4,24,open,,2026-03-29T23:50:00+00:00,medium,BoJ Summary of Opinions,2026-03-29T23:50:00+00:00,medium,BoJ Summary of Opinions,2
2026-03-28 15:35:19.233466+00:00,invest,CHF/JPY,200.587,M_IB_1_DOWN,196.8265,-376.05,fresh,Y_POC,183.45150000000945,-1713.55,fresh,M_IB_1_DOWN,196.8265,-376.05,fresh,M_IB_1_UP,207.61450000000002,702.75,fresh,Support M_IB_1_DOWN (fresh) @ 196.8265 [-376.05 pips] | Resistance M_IB_1_UP (fresh) @ 207.61450000000002 [702.75 pips] | POC Y_POC (fresh) @ 183.45150000000945 [-1713.55 pips] | IB M_IB_1_DOWN (fresh) @ 196.8265 [-376.05 pips],200.587,M_IB_1_DOWN,196.8265,-376.05,M_IB_1_UP,207.61450000000002,702.75,18,1,5,24,open,,2026-03-29T23:50:00+00:00,medium,BoJ Summary of Opinions,2026-03-29T23:50:00+00:00,medium,BoJ Summary of Opinions,2
2026-03-28 15:35:14.091022+00:00,invest,EUR/CHF,0.919675,M_IB_1_UP,0.92438,47.05,fresh,M_POC,0.9131499999999992,-65.25,crossed,M_IB_1_DOWN,0.8905099999999999,-291.65,fresh,M_IB_1_UP,0.92438,47.05,fresh,Support M_IB_1_DOWN (fresh) @ 0.8905099999999999 [-291.65 pips] | Resistance M_IB_1_UP (fresh) @ 0.92438 [47.05 pips] | POC M_POC (crossed) @ 0.9131499999999992 [-65.25 pips] | IB M_IB_1_UP (fresh) @ 0.92438 [47.05 pips],0.919675,M_IB_1_DOWN,0.8905099999999999,-291.65,M_IB_1_UP,0.92438,47.05,17,0,7,24,open,,2026-03-30T09:00:00+00:00,medium,Economic Sentiment,2026-03-30T09:00:00+00:00,medium,Economic Sentiment,1
2026-03-28 15:35:10.116099+00:00,invest,EUR/GBP,0.8679,M_IB_MID,0.873595,56.95,fresh,M_POC,0.8715499999999989,36.5,crossed,M_IB_1_DOWN,0.8581150000000002,-97.85,fresh,M_IB_MID,0.873595,56.95,fresh,Support M_IB_1_DOWN (fresh) @ 0.8581150000000002 [-97.85 pips] | Resistance M_IB_MID (fresh) @ 0.873595 [56.95 pips] | POC M_POC (crossed) @ 0.8715499999999989 [36.50 pips] | IB M_IB_MID (fresh) @ 0.873595 [56.95 pips],0.8679,M_IB_1_DOWN,0.8581150000000002,-97.85,M_IB_MID,0.873595,56.95,19,1,4,24,open,,2026-03-30T08:30:00+00:00,medium,BoE Consumer Credit,2026-03-30T08:30:00+00:00,medium,BoE Consumer Credit,4
2026-03-28 15:35:11.502140+00:00,invest,EUR/JPY,184.49,M_IB_HIGH,184.69400000000002,20.4,fresh,Y_POC,172.4805000000132,-1200.95,fresh,Y_IB_LOW,180.8055,-368.45,fresh,M_IB_HIGH,184.69400000000002,20.4,fresh,Support Y_IB_LOW (fresh) @ 180.8055 [-368.45 pips] | Resistance M_IB_HIGH (fresh) @ 184.69400000000002 [20.40 pips] | POC Y_POC (fresh) @ 172.4805000000132 [-1200.95 pips] | IB M_IB_HIGH (fresh) @ 184.69400000000002 [20.40 pips],184.49,Y_IB_LOW,180.8055,-368.45,M_IB_HIGH,184.69400000000002,20.4,20,0,4,24,open,,2026-03-29T23:50:00+00:00,medium,BoJ Summary of Opinions,2026-03-29T23:50:00+00:00,medium,BoJ Summary of Opinions,3
2026-03-28 15:35:02.019129+00:00,invest,EUR/USD,1.15113,M_IB_MID,1.16743,163.0,fresh,M_POC,1.1803499999999993,292.2,tested,M_IB_1_DOWN,1.12423,-269.0,fresh,M_IB_MID,1.16743,163.0,fresh,Support M_IB_1_DOWN (fresh) @ 1.12423 [-269.00 pips] | Resistance M_IB_MID (fresh) @ 1.16743 [163.00 pips] | POC M_POC (tested) @ 1.1803499999999993 [292.20 pips] | IB M_IB_MID (fresh) @ 1.16743 [163.00 pips],1.15113,M_IB_1_DOWN,1.12423,-269.0,M_IB_MID,1.16743,163.0,20,1,3,24,open,,2026-03-30T09:00:00+00:00,medium,Economic Sentiment,2026-03-30T09:00:00+00:00,medium,Economic Sentiment,3
2026-03-28 15:35:15.206007+00:00,invest,GBP/CHF,1.060175,M_IB_1_UP,1.0659,57.25,fresh,Y_POC,1.0719499999999962,117.75,crossed,M_IB_LOW,1.0286,-315.75,fresh,M_IB_1_UP,1.0659,57.25,fresh,Support M_IB_LOW (fresh) @ 1.0286 [-315.75 pips] | Resistance M_IB_1_UP (fresh) @ 1.0659 [57.25 pips] | POC Y_POC (crossed) @ 1.0719499999999962 [117.75 pips] | IB M_IB_1_UP (fresh) @ 1.0659 [57.25 pips],1.060175,M_IB_LOW,1.0286,-315.75,M_IB_1_UP,1.0659,57.25,18,2,4,24,open,,2026-03-30T08:30:00+00:00,medium,BoE Consumer Credit,2026-03-30T08:30:00+00:00,medium,BoE Consumer Credit,3
2026-03-28 15:35:12.972784+00:00,invest,GBP/JPY,212.642,M_IB_1_UP,213.594,95.2,fresh,M_POC,208.6345000000067,-400.75,fresh,M_IB_LOW,209.183,-345.9,fresh,M_IB_1_UP,213.594,95.2,fresh,Support M_IB_LOW (fresh) @ 209.183 [-345.90 pips] | Resistance M_IB_1_UP (fresh) @ 213.594 [95.20 pips] | POC M_POC (fresh) @ 208.6345000000067 [-400.75 pips] | IB M_IB_1_UP (fresh) @ 213.594 [95.20 pips],212.642,M_IB_LOW,209.183,-345.9,M_IB_1_UP,213.594,95.2,21,1,2,24,open,,2026-03-29T23:50:00+00:00,medium,BoJ Summary of Opinions,2026-03-29T23:50:00+00:00,medium,BoJ Summary of Opinions,5
