asof_time,table_type,instrument,current_price,above_levels,below_levels,selected_levels,confluence_hits
2026-03-28 17:33:51.107656+00:00,poc_matrix,AUD/JPY,110.189,"W_POC @ 112.255
W_VAH @ 113.015",,2,0
2026-03-28 17:33:42.353612+00:00,poc_matrix,AUD/USD,0.68737,W_VAH @ 0.70915,,1,0
2026-03-28 17:33:52.271194+00:00,poc_matrix,CAD/JPY,115.39,W_VAH @ 116.493,,1,0
2026-03-28 17:33:53.542690+00:00,poc_matrix,CHF/JPY,200.587,W_VAH @ 202.57,,1,0
2026-03-28 17:33:48.934127+00:00,poc_matrix,EUR/CHF,0.91968,,W_VAL @ 0.90635,1,0
2026-03-28 17:33:45.406152+00:00,poc_matrix,EUR/GBP,0.8679,,W_VAL @ 0.86275,1,0
2026-03-28 17:33:46.668274+00:00,poc_matrix,EUR/JPY,184.49,,W_VAL @ 182.597,1,0
2026-03-28 17:33:37.886122+00:00,poc_matrix,EUR/USD,1.15113,,W_VAL @ 1.14655,1,0
2026-03-28 17:33:49.933900+00:00,poc_matrix,GBP/CHF,1.06018,,"W_POC @ 1.04865
W_VAL @ 1.04595",2,0
2026-03-28 17:33:47.946623+00:00,poc_matrix,GBP/JPY,212.642,,,0,0
2026-03-28 17:33:38.908183+00:00,poc_matrix,GBP/USD,1.32608,,,0,0
2026-03-28 17:33:44.409724+00:00,poc_matrix,NZD/USD,0.57442,,,0,0
2026-03-28 17:33:43.419083+00:00,poc_matrix,USD/CAD,1.38936,,,0,0
2026-03-28 17:33:41.288980+00:00,poc_matrix,USD/CHF,0.79892,,,0,0
2026-03-28 17:33:40.182824+00:00,poc_matrix,USD/JPY,160.293,,,0,0
