asof_time,table_type,source_table_type,instrument,current_price,last_price,res1_name,res1_price,res1_pips,res1_family,res1_period,res1_status,res1_conf,res1_conf_name,res1_conf_pips,res2_name,res2_price,res2_pips,res2_family,res2_period,res2_status,res2_conf,res2_conf_name,res2_conf_pips,sup1_name,sup1_price,sup1_pips,sup1_family,sup1_period,sup1_status,sup1_conf,sup1_conf_name,sup1_conf_pips,sup2_name,sup2_price,sup2_pips,sup2_family,sup2_period,sup2_status,sup2_conf,sup2_conf_name,sup2_conf_pips,source_levels,source_resistances,source_supports,selected_resistances,selected_supports,selected_levels,confluence_candidates,confluence_hits,signal_summary
2026-03-28 17:30:56.971753+00:00,swing_ib_matrix,swing,AUD/JPY,110.189,110.189,M IB 150,115.937,574.85,IB,M,fresh,,,,M IB 200,117.218,702.95,IB,M,fresh,,,,M IB LOW,109.532,-65.65,IB,M,fresh,,,,M IB -150,105.689,-449.95,IB,M,fresh,,,,7,3,4,2,2,4,2,0,Res1 M IB 150 (fresh) @ 115.937 [574.85 pips] | Res2 M IB 200 (fresh) @ 117.218 [702.95 pips] | Sup1 M IB LOW (fresh) @ 109.532 [-65.65 pips] | Sup2 M IB -150 (fresh) @ 105.689 [-449.95 pips]
2026-03-28 17:30:42.460902+00:00,swing_ib_matrix,swing,AUD/USD,0.68737,0.68737,M IB 150,0.73906,517.0,IB,M,fresh,,,,M IB 200,0.74799,606.3,IB,M,fresh,,,,M IB -150,0.66763,-197.4,IB,M,fresh,,,,M IB -200,0.6587,-286.7,IB,M,fresh,,,,6,3,3,2,2,4,0,0,Res1 M IB 150 (fresh) @ 0.73906 [517.00 pips] | Res2 M IB 200 (fresh) @ 0.74799 [606.30 pips] | Sup1 M IB -150 (fresh) @ 0.66763 [-197.40 pips] | Sup2 M IB -200 (fresh) @ 0.6587 [-286.70 pips]
2026-03-28 17:31:00.151515+00:00,swing_ib_matrix,swing,CAD/JPY,115.39,115.39,M IB 150,118.247,285.7,IB,M,fresh,,,,M IB 200,119.089,369.95,IB,M,fresh,,,,M IB LOW,114.035,-135.55,IB,M,fresh,,,,M IB -150,111.507,-388.3,IB,M,fresh,,,,7,3,4,2,2,4,1,0,Res1 M IB 150 (fresh) @ 118.247 [285.70 pips] | Res2 M IB 200 (fresh) @ 119.089 [369.95 pips] | Sup1 M IB LOW (fresh) @ 114.035 [-135.55 pips] | Sup2 M IB -150 (fresh) @ 111.507 [-388.30 pips]
2026-03-28 17:31:02.664730+00:00,swing_ib_matrix,swing,CHF/JPY,200.587,200.587,M IB 150,209.413,882.55,IB,M,fresh,,,,M IB 200,211.211,1062.35,IB,M,fresh,,,,M IB -150,195.029,-555.85,IB,M,fresh,,,,M IB -200,193.231,-735.65,IB,M,fresh,,,,6,3,3,2,2,4,1,0,Res1 M IB 150 (fresh) @ 209.413 [882.55 pips] | Res2 M IB 200 (fresh) @ 211.211 [1062.35 pips] | Sup1 M IB -150 (fresh) @ 195.029 [-555.85 pips] | Sup2 M IB -200 (fresh) @ 193.231 [-735.65 pips]
2026-03-28 17:30:52.885836+00:00,swing_ib_matrix,swing,EUR/CHF,0.91968,0.91968,M IB 150,0.93002,103.5,IB,M,fresh,,,,M IB 200,0.93567,159.95,IB,M,fresh,,,,M IB -150,0.88486,-348.1,IB,M,fresh,,,,M IB -200,0.87922,-404.55,IB,M,fresh,,,,6,3,3,2,2,4,0,0,Res1 M IB 150 (fresh) @ 0.93002 [103.50 pips] | Res2 M IB 200 (fresh) @ 0.93567 [159.95 pips] | Sup1 M IB -150 (fresh) @ 0.88486 [-348.10 pips] | Sup2 M IB -200 (fresh) @ 0.87922 [-404.55 pips]
2026-03-28 17:30:47.097376+00:00,swing_ib_matrix,swing,EUR/GBP,0.8679,0.8679,M IB HIGH,0.87875,108.55,IB,M,fresh,,,,M IB 150,0.89423,263.35,IB,M,fresh,,,,M IB -150,0.85296,-149.45,IB,M,fresh,,,,M IB -200,0.8478,-201.05,IB,M,fresh,,,,7,4,3,2,2,4,0,0,Res1 M IB HIGH (fresh) @ 0.87875 [108.55 pips] | Res2 M IB 150 (fresh) @ 0.89423 [263.35 pips] | Sup1 M IB -150 (fresh) @ 0.85296 [-149.45 pips] | Sup2 M IB -200 (fresh) @ 0.8478 [-201.05 pips]
2026-03-28 17:30:49.264600+00:00,swing_ib_matrix,swing,EUR/JPY,184.49,184.49,M IB HIGH,184.694,20.4,IB,M,fresh,,,,M IB 150,188.689,419.93,IB,M,fresh,,,,M IB -150,178.035,-645.47,IB,M,fresh,,,,M IB -200,176.704,-778.65,IB,M,fresh,,,,7,4,3,2,2,4,1,0,Res1 M IB HIGH (fresh) @ 184.694 [20.40 pips] | Res2 M IB 150 (fresh) @ 188.689 [419.93 pips] | Sup1 M IB -150 (fresh) @ 178.035 [-645.47 pips] | Sup2 M IB -200 (fresh) @ 176.704 [-778.65 pips]
2026-03-28 17:30:35.626333+00:00,swing_ib_matrix,swing,EUR/USD,1.15113,1.15113,M IB HIGH,1.18183,307.0,IB,M,fresh,,,,M IB 150,1.22503,739.0,IB,M,fresh,,,,M IB -150,1.10983,-413.0,IB,M,fresh,,,,M IB -200,1.09543,-557.0,IB,M,fresh,,,,6,3,3,2,2,4,1,0,Res1 M IB HIGH (fresh) @ 1.18183 [307.00 pips] | Res2 M IB 150 (fresh) @ 1.22503 [739.00 pips] | Sup1 M IB -150 (fresh) @ 1.10983 [-413.00 pips] | Sup2 M IB -200 (fresh) @ 1.09543 [-557.00 pips]
2026-03-28 17:30:54.451764+00:00,swing_ib_matrix,swing,GBP/CHF,1.06018,1.06018,M IB 150,1.07523,150.5,IB,M,fresh,,,,M IB 200,1.08455,243.75,IB,M,fresh,,,,M IB LOW,1.0286,-315.75,IB,M,fresh,,,,M IB -150,1.00062,-595.5,IB,M,fresh,,,,7,3,4,2,2,4,0,0,Res1 M IB 150 (fresh) @ 1.07523 [150.50 pips] | Res2 M IB 200 (fresh) @ 1.08455 [243.75 pips] | Sup1 M IB LOW (fresh) @ 1.0286 [-315.75 pips] | Sup2 M IB -150 (fresh) @ 1.00062 [-595.50 pips]
2026-03-28 17:30:51.283341+00:00,swing_ib_matrix,swing,GBP/JPY,212.642,212.642,M IB 150,214.697,205.48,IB,M,fresh,,,,M IB 200,215.799,315.75,IB,M,fresh,,,,M IB LOW,209.183,-345.9,IB,M,fresh,,,,M IB -150,205.875,-676.72,IB,M,fresh,,,,7,3,4,2,2,4,2,0,Res1 M IB 150 (fresh) @ 214.697 [205.48 pips] | Res2 M IB 200 (fresh) @ 215.799 [315.75 pips] | Sup1 M IB LOW (fresh) @ 209.183 [-345.90 pips] | Sup2 M IB -150 (fresh) @ 205.875 [-676.72 pips]
