asof_time,table_type,instrument,current_price,above_levels,below_levels,selected_levels,confluence_hits
2026-03-28 17:30:56.971753+00:00,swing_ib_matrix,AUD/JPY,110.189,"M IB 150 @ 115.937
M IB 200 @ 117.218","M IB LOW @ 109.532
M IB -150 @ 105.689",4,0
2026-03-28 17:30:42.460902+00:00,swing_ib_matrix,AUD/USD,0.68737,"M IB 150 @ 0.73906
M IB 200 @ 0.74799","M IB -150 @ 0.66763
M IB -200 @ 0.6587",4,0
2026-03-28 17:31:00.151515+00:00,swing_ib_matrix,CAD/JPY,115.39,"M IB 150 @ 118.247
M IB 200 @ 119.089","M IB LOW @ 114.035
M IB -150 @ 111.507",4,0
2026-03-28 17:31:02.664730+00:00,swing_ib_matrix,CHF/JPY,200.587,"M IB 150 @ 209.413
M IB 200 @ 211.211","M IB -150 @ 195.029
M IB -200 @ 193.231",4,0
2026-03-28 17:30:52.885836+00:00,swing_ib_matrix,EUR/CHF,0.91968,"M IB 150 @ 0.93002
M IB 200 @ 0.93567","M IB -150 @ 0.88486
M IB -200 @ 0.87922",4,0
2026-03-28 17:30:47.097376+00:00,swing_ib_matrix,EUR/GBP,0.8679,"M IB HIGH @ 0.87875
M IB 150 @ 0.89423","M IB -150 @ 0.85296
M IB -200 @ 0.8478",4,0
2026-03-28 17:30:49.264600+00:00,swing_ib_matrix,EUR/JPY,184.49,"M IB HIGH @ 184.694
M IB 150 @ 188.689","M IB -150 @ 178.035
M IB -200 @ 176.704",4,0
2026-03-28 17:30:35.626333+00:00,swing_ib_matrix,EUR/USD,1.15113,"M IB HIGH @ 1.18183
M IB 150 @ 1.22503","M IB -150 @ 1.10983
M IB -200 @ 1.09543",4,0
2026-03-28 17:30:54.451764+00:00,swing_ib_matrix,GBP/CHF,1.06018,"M IB 150 @ 1.07523
M IB 200 @ 1.08455","M IB LOW @ 1.0286
M IB -150 @ 1.00062",4,0
2026-03-28 17:30:51.283341+00:00,swing_ib_matrix,GBP/JPY,212.642,"M IB 150 @ 214.697
M IB 200 @ 215.799","M IB LOW @ 209.183
M IB -150 @ 205.875",4,0
2026-03-28 17:30:37.193616+00:00,swing_ib_matrix,GBP/USD,1.32608,"M IB HIGH @ 1.34916
M IB 150 @ 1.38494","M IB -150 @ 1.28952
M IB -200 @ 1.2776",4,0
2026-03-28 17:30:45.622181+00:00,swing_ib_matrix,NZD/USD,0.57442,"M IB HIGH @ 0.59959
M IB 150 @ 0.62356","M IB -150 @ 0.55964
M IB -200 @ 0.55165",4,0
2026-03-28 17:30:44.079282+00:00,swing_ib_matrix,USD/CAD,1.38936,"M IB 150 @ 1.39602
M IB 200 @ 1.40293","M IB -150 @ 1.34076
M IB -200 @ 1.33386",4,0
2026-03-28 17:30:40.725894+00:00,swing_ib_matrix,USD/CHF,0.79892,"M IB 150 @ 0.82029
M IB 200 @ 0.83109","M IB LOW @ 0.76628
M IB -150 @ 0.73388",4,0
2026-03-28 17:30:39.141547+00:00,swing_ib_matrix,USD/JPY,160.293,"M IB 150 @ 161.617
M IB 200 @ 162.833","M IB LOW @ 155.54
M IB -150 @ 151.893",4,0
