asof_time,table_type,source_table_type,instrument,current_price,last_price,res1_name,res1_price,res1_pips,res1_family,res1_period,res1_status,res1_conf,res1_conf_name,res1_conf_pips,res2_name,res2_price,res2_pips,res2_family,res2_period,res2_status,res2_conf,res2_conf_name,res2_conf_pips,sup1_name,sup1_price,sup1_pips,sup1_family,sup1_period,sup1_status,sup1_conf,sup1_conf_name,sup1_conf_pips,sup2_name,sup2_price,sup2_pips,sup2_family,sup2_period,sup2_status,sup2_conf,sup2_conf_name,sup2_conf_pips,source_levels,source_resistances,source_supports,selected_resistances,selected_supports,selected_levels,confluence_candidates,confluence_hits,signal_summary
2026-03-28 17:33:51.158570+00:00,swing_poc_matrix,swing,AUD/JPY,110.189,110.189,,,,,,,,,,,,,,,,,,,M_POC,109.201,-98.8,POC,M,fresh,,,,M_VAL,108.068,-212.1,POC,M,fresh,,,,2,0,2,0,2,2,7,0,Sup1 M_POC (fresh) @ 109.201 [-98.80 pips] | Sup2 M_VAL (fresh) @ 108.068 [-212.10 pips]
2026-03-28 17:33:42.415097+00:00,swing_poc_matrix,swing,AUD/USD,0.68737,0.68737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,6,0,
2026-03-28 17:33:52.326187+00:00,swing_poc_matrix,swing,CAD/JPY,115.39,115.39,,,,,,,,,,,,,,,,,,,M_VAL,112.985,-240.55,POC,M,fresh,,,,,,,,,,,,,1,0,1,0,1,1,7,0,Sup1 M_VAL (fresh) @ 112.985 [-240.55 pips]
2026-03-28 17:33:53.599045+00:00,swing_poc_matrix,swing,CHF/JPY,200.587,200.587,,,,,,,,,,,,,,,,,,,M_VAL,198.306,-228.15,POC,M,fresh,,,,,,,,,,,,,1,0,1,0,1,1,6,0,Sup1 M_VAL (fresh) @ 198.306 [-228.15 pips]
2026-03-28 17:33:48.989609+00:00,swing_poc_matrix,swing,EUR/CHF,0.91968,0.91968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,6,0,
2026-03-28 17:33:45.465265+00:00,swing_poc_matrix,swing,EUR/GBP,0.8679,0.8679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,7,0,
2026-03-28 17:33:46.722809+00:00,swing_poc_matrix,swing,EUR/JPY,184.49,184.49,M_VAH,185.944,145.35,POC,M,fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,7,0,Res1 M_VAH (fresh) @ 185.944 [145.35 pips]
2026-03-28 17:33:37.965422+00:00,swing_poc_matrix,swing,EUR/USD,1.15113,1.15113,M_VAH,1.18555,344.2,POC,M,fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,6,0,Res1 M_VAH (fresh) @ 1.18555 [344.20 pips]
2026-03-28 17:33:49.988407+00:00,swing_poc_matrix,swing,GBP/CHF,1.06018,1.06018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,7,0,
2026-03-28 17:33:47.998316+00:00,swing_poc_matrix,swing,GBP/JPY,212.642,212.642,,,,,,,,,,,,,,,,,,,M_POC,208.635,-400.75,POC,M,fresh,,,,M_VAL,207.273,-536.95,POC,M,fresh,,,,2,0,2,0,2,2,7,0,Sup1 M_POC (fresh) @ 208.635 [-400.75 pips] | Sup2 M_VAL (fresh) @ 207.273 [-536.95 pips]
2026-03-28 17:33:38.963024+00:00,swing_poc_matrix,swing,GBP/USD,1.32608,1.32608,M_POC,1.36465,385.7,POC,M,fresh,,,,M_VAH,1.37115,450.7,POC,M,fresh,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,0,3,7,0,Res1 M_POC (fresh) @ 1.36465 [385.70 pips] | Res2 M_VAH (fresh) @ 1.37115 [450.70 pips] | Res3 M_VAL (fresh) @ 1.35215 [260.70 pips]
2026-03-28 17:33:44.465058+00:00,swing_poc_matrix,swing,NZD/USD,0.57442,0.57442,M_POC,0.60435,299.3,POC,M,fresh,,,,M_VAH,0.60515,307.3,POC,M,fresh,,,,,,,,,,,,,,,,,,,,,,2,2,0,2,0,2,7,0,Res1 M_POC (fresh) @ 0.60435 [299.30 pips] | Res2 M_VAH (fresh) @ 0.60515 [307.30 pips]
2026-03-28 17:33:43.479255+00:00,swing_poc_matrix,swing,USD/CAD,1.38936,1.38936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,6,0,
2026-03-28 17:33:41.350790+00:00,swing_poc_matrix,swing,USD/CHF,0.79892,0.79892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,7,0,
2026-03-28 17:33:40.256368+00:00,swing_poc_matrix,swing,USD/JPY,160.293,160.293,,,,,,,,,,,,,,,,,,,M_VAL,154.112,-618.2,POC,M,fresh,,,,,,,,,,,,,1,0,1,0,1,1,7,0,Sup1 M_VAL (fresh) @ 154.112 [-618.20 pips]
