asof_time,symbol,table_type,current_price,last_price,nearest_ib_level_name,nearest_ib_level_price,nearest_ib_distance_pips,nearest_ib_status,nearest_poc_level_name,nearest_poc_level_price,nearest_poc_distance_pips,nearest_poc_status,nearest_long_level_name,nearest_long_level_price,nearest_long_distance_pips,nearest_long_status,nearest_short_level_name,nearest_short_level_price,nearest_short_distance_pips,nearest_short_status,nearest_fresh_long_level_name,nearest_fresh_long_level_price,nearest_fresh_long_distance_pips,nearest_fresh_short_level_name,nearest_fresh_short_level_price,nearest_fresh_short_distance_pips,fresh_levels,tested_levels,crossed_levels,total_levels,signal_summary
2026-03-28 15:35:16.388262+00:00,AUD/JPY,swing,110.189,110.189,W_IB_LOW,110.282,9.35,crossed,M_POC,109.201,-98.8,fresh,M_IB_LOW,109.532,-65.65,fresh,W_IB_LOW,110.282,9.35,crossed,M_IB_LOW,109.532,-65.65,W_IB_HIGH,111.782,159.4,20,0,5,25,Support M_IB_LOW (fresh) @ 109.532 [-65.65 pips] | Resistance W_IB_LOW (crossed) @ 110.282 [9.35 pips] | POC M_POC (fresh) @ 109.201 [-98.80 pips] | IB W_IB_LOW (crossed) @ 110.282 [9.35 pips]
2026-03-28 15:35:06.686430+00:00,AUD/USD,swing,0.68737,0.68737,Y_IB_MID,0.6905,31.38,crossed,W_POC,0.70375,163.85,crossed,M_IB_1_DOWN,0.67656,-108.1,fresh,Y_IB_MID,0.6905,31.38,crossed,M_IB_1_DOWN,0.67656,-108.1,W_IB_HIGH,0.70626,188.9,8,0,9,17,Support M_IB_1_DOWN (fresh) @ 0.67656 [-108.10 pips] | Resistance Y_IB_MID (crossed) @ 0.6905 [31.38 pips] | POC W_POC (crossed) @ 0.70375 [163.85 pips] | IB Y_IB_MID (crossed) @ 0.6905 [31.38 pips]
2026-03-28 15:35:17.767821+00:00,CAD/JPY,swing,115.39,115.39,Y_IB_HIGH,115.435,4.5,crossed,M_POC,114.763,-62.75,crossed,W_IB_LOW,115.19,-20.0,crossed,Y_IB_HIGH,115.435,4.5,crossed,M_IB_LOW,114.035,-135.55,W_IB_MID,115.796,40.57,25,1,5,31,Support W_IB_LOW (crossed) @ 115.19 [-20.00 pips] | Resistance Y_IB_HIGH (crossed) @ 115.435 [4.50 pips] | POC M_POC (crossed) @ 114.763 [-62.75 pips] | IB Y_IB_HIGH (crossed) @ 115.435 [4.50 pips]
2026-03-28 15:35:19.129745+00:00,CHF/JPY,swing,200.587,200.587,W_IB_LOW,200.546,-4.15,crossed,M_POC,200.008,-57.95,crossed,W_IB_LOW,200.546,-4.15,crossed,W_IB_MID,201.464,87.73,crossed,W_IB_1_DOWN,198.708,-187.9,W_IB_HIGH,202.383,179.6,14,1,8,23,Support W_IB_LOW (crossed) @ 200.546 [-4.15 pips] | Resistance W_IB_MID (crossed) @ 201.464 [87.73 pips] | POC M_POC (crossed) @ 200.008 [-57.95 pips] | IB W_IB_LOW (crossed) @ 200.546 [-4.15 pips]
2026-03-28 15:35:13.989874+00:00,EUR/CHF,swing,0.91968,0.91968,W_IB_1_UP,0.92005,3.7,tested,M_POC,0.91315,-65.25,crossed,Y_IB_MID,0.91839,-12.83,crossed,W_IB_1_UP,0.92005,3.7,tested,W_IB_LOW,0.90935,-103.3,W_IB_1_5_UP,0.92272,30.45,14,1,10,25,Support Y_IB_MID (crossed) @ 0.91839 [-12.83 pips] | Resistance W_IB_1_UP (tested) @ 0.92005 [3.70 pips] | POC M_POC (crossed) @ 0.91315 [-65.25 pips] | IB W_IB_1_UP (tested) @ 0.92005 [3.70 pips]
2026-03-28 15:35:10.010154+00:00,EUR/GBP,swing,0.8679,0.8679,W_IB_HIGH,0.86793,0.25,tested,M_POC,0.87155,36.5,crossed,W_IB_MID,0.8655,-24.0,crossed,W_IB_HIGH,0.86793,0.25,tested,W_IB_LOW,0.86308,-48.25,W_IB_1_UP,0.87278,48.75,19,2,6,27,Support W_IB_MID (crossed) @ 0.8655 [-24.00 pips] | Resistance W_IB_HIGH (tested) @ 0.86793 [0.25 pips] | POC M_POC (crossed) @ 0.87155 [36.50 pips] | IB W_IB_HIGH (tested) @ 0.86793 [0.25 pips]
2026-03-28 15:35:11.385550+00:00,EUR/JPY,swing,184.49,184.49,W_IB_HIGH,184.341,-14.85,crossed,M_POC,183.61,-88.05,crossed,W_IB_HIGH,184.341,-14.85,crossed,M_IB_HIGH,184.694,20.4,fresh,W_IB_LOW,183.18,-131.05,M_IB_HIGH,184.694,20.4,18,0,7,25,Support W_IB_HIGH (crossed) @ 184.341 [-14.85 pips] | Resistance M_IB_HIGH (fresh) @ 184.694 [20.40 pips] | POC M_POC (crossed) @ 183.61 [-88.05 pips] | IB W_IB_HIGH (crossed) @ 184.341 [-14.85 pips]
2026-03-28 15:35:01.905748+00:00,EUR/USD,swing,1.15113,1.15113,M_IB_LOW,1.15303,19.0,crossed,W_POC,1.15385,27.2,crossed,W_IB_LOW,1.14845,-26.8,fresh,M_IB_LOW,1.15303,19.0,crossed,W_IB_LOW,1.14845,-26.8,W_IB_HIGH,1.16398,128.55,7,1,5,13,Support W_IB_LOW (fresh) @ 1.14845 [-26.80 pips] | Resistance M_IB_LOW (crossed) @ 1.15303 [19.00 pips] | POC W_POC (crossed) @ 1.15385 [27.20 pips] | IB M_IB_LOW (crossed) @ 1.15303 [19.00 pips]
2026-03-28 15:35:15.089302+00:00,GBP/CHF,swing,1.06018,1.06018,W_IB_HIGH,1.05812,-20.55,crossed,W_POC,1.04865,-115.25,fresh,W_IB_HIGH,1.05812,-20.55,crossed,M_IB_1_UP,1.0659,57.25,fresh,W_IB_LOW,1.0487,-114.75,M_IB_1_UP,1.0659,57.25,12,2,5,19,Support W_IB_HIGH (crossed) @ 1.05812 [-20.55 pips] | Resistance M_IB_1_UP (fresh) @ 1.0659 [57.25 pips] | POC W_POC (fresh) @ 1.04865 [-115.25 pips] | IB W_IB_HIGH (crossed) @ 1.05812 [-20.55 pips]
2026-03-28 15:35:12.860172+00:00,GBP/JPY,swing,212.642,212.642,W_IB_MID,212.448,-19.43,crossed,W_POC,212.283,-35.95,crossed,W_IB_MID,212.448,-19.43,crossed,W_IB_HIGH,213.312,67.05,tested,W_IB_LOW,211.583,-105.9,M_IB_1_UP,213.594,95.2,20,2,4,26,Support W_IB_MID (crossed) @ 212.448 [-19.43 pips] | Resistance W_IB_HIGH (tested) @ 213.312 [67.05 pips] | POC W_POC (crossed) @ 212.283 [-35.95 pips] | IB W_IB_MID (crossed) @ 212.448 [-19.43 pips]
2026-03-28 15:35:03.019730+00:00,GBP/USD,swing,1.32608,1.32608,W_IB_LOW,1.32571,-3.75,fresh,W_POC,1.33335,72.7,crossed,W_IB_LOW,1.32571,-3.75,fresh,Y_IB_LOW,1.33265,65.65,crossed,W_IB_LOW,1.32571,-3.75,W_IB_HIGH,1.34794,218.55,5,0,6,11,Support W_IB_LOW (fresh) @ 1.32571 [-3.75 pips] | Resistance Y_IB_LOW (crossed) @ 1.33265 [65.65 pips] | POC W_POC (crossed) @ 1.33335 [72.70 pips] | IB W_IB_LOW (fresh) @ 1.32571 [-3.75 pips]
2026-03-28 15:35:08.908864+00:00,NZD/USD,swing,0.57442,0.57442,W_IB_LOW,0.57621,17.85,crossed,Y_POC,0.57835,39.3,crossed,Y_IB_LOW,0.57112,-33.05,fresh,W_IB_LOW,0.57621,17.85,crossed,Y_IB_LOW,0.57112,-33.05,W_IB_HIGH,0.58875,143.25,11,0,7,18,Support Y_IB_LOW (fresh) @ 0.57112 [-33.05 pips] | Resistance W_IB_LOW (crossed) @ 0.57621 [17.85 pips] | POC Y_POC (crossed) @ 0.57835 [39.30 pips] | IB W_IB_LOW (crossed) @ 0.57621 [17.85 pips]
